x,y,z,id
-1.84182,1.323225,-0.61869,1
-1.84182,1.323225,0.618698,1
-1.824,0.4632,0,1
-1.824,0.4632,0,1
-1.82,1.621875,-0.30252,1
-1.82,1.621875,0.302523,1
-1.8009,2.024775,0,1
-1.80075,1.4712,-0.6049,1
-1.80075,1.4712,0.6049,1
-1.80051,0.4632,-0.29928,1
-1.80051,0.4632,0.299282,1
-1.80046,2.031069,-0.081,1
-1.80046,2.031069,0.081,1
-1.79925,2.048152,-0.144,1
-1.79925,2.048152,0.144,1
-1.79747,2.073326,-0.189,1
-1.79747,2.073326,0.189,1
-1.79695,0.553725,-0.60362,1
-1.79695,0.553725,0.603624,1
-1.7953,2.103896,-0.216,1
-1.7953,2.103896,0.216,1
-1.79295,2.137163,-0.225,1
-1.79295,2.137163,0.225,1
-1.7906,2.170429,-0.216,1
-1.7906,2.170429,0.216,1
-1.78843,2.200999,-0.189,1
-1.78843,2.200999,0.189,1
-1.78665,2.226173,-0.144,1
-1.78665,2.226173,0.144,1
-1.78545,2.243256,-0.081,1
-1.78545,2.243256,0.081,1
-1.785,2.24955,0,1
-1.784,1.7748,0,1
-1.784,1.7748,0,1
-1.77968,0.9,-0.92592,1
-1.77968,0.9,-0.92592,1
-1.77968,0.9,0.92592,1
-1.77968,0.9,0.92592,1
-1.77323,1.037175,-0.92256,1
-1.77323,1.037175,0.922564,1
-1.76722,0.771675,-0.91943,1
-1.76722,0.771675,0.919439,1
-1.76102,1.7748,-0.29271,1
-1.76102,1.7748,0.292719,1
-1.75476,1.1784,-0.91295,1
-1.75476,1.1784,0.912957,1
-1.75112,1.621875,-0.58823,1
-1.75112,1.621875,0.58823,1
-1.75,0.384375,0,1
-1.75,0.384375,0,1
-1.73341,0.6564,-0.90184,1
-1.73341,0.6564,0.901846,1
-1.73236,0.4632,-0.58192,1
-1.73236,0.4632,0.581929,1
-1.72746,0.384375,-0.28714,1
-1.72746,0.384375,0.28714,1
-1.72562,1.323225,-0.89779,1
-1.72562,1.323225,0.897795,1
-1.71825,1.929525,0,1
-1.71825,1.929525,0,1
-1.69612,1.929525,-0.28193,1
-1.69612,1.929525,0.28193,1
-1.69437,1.7748,-0.56916,1
-1.69437,1.7748,0.569167,1
-1.68714,1.4712,-0.87777,1
-1.68714,1.4712,0.877772,1
-1.68358,0.553725,-0.87592,1
-1.68358,0.553725,0.87592,1
-1.676,0.3168,0,1
-1.676,0.3168,0,1
-1.66208,0.384375,-0.55832,1
-1.66208,0.384375,0.55832,1
-1.65441,0.3168,-0.27499,1
-1.65441,0.3168,0.274998,1
-1.648,2.0856,0,1
-1.648,2.0856,0,1
-1.64064,1.621875,-0.85358,1
-1.64064,1.621875,0.853583,1
-1.63193,1.929525,-0.54819,1
-1.63193,1.929525,0.54819,1
-1.62677,2.0856,-0.2704,1
-1.62677,2.0856,0.270404,1
-1.62307,0.4632,-0.84443,1
-1.62307,0.4632,0.844439,1
-1.61856,0.9,-1.18784,1
-1.61856,0.9,-1.18784,1
-1.61856,0.9,1.18784,1
-1.61856,0.9,1.18784,1
-1.61269,1.037175,-1.18353,1
-1.61269,1.037175,1.183534,1
-1.608,0.260025,0,1
-1.608,0.260025,0,1
-1.60723,0.771675,-1.17952,1
-1.60723,0.771675,1.179525,1
-1.6,2.025,0,1
-1.5972,2.0313,-0.081,1
-1.5972,2.0313,0.081,1
-1.5959,1.1784,-1.17121,1
-1.5959,1.1784,1.17121,1
-1.5918,0.3168,-0.53471,1
-1.5918,0.3168,0.534711,1
-1.5896,2.0484,-0.144,1
-1.5896,2.0484,0.144,1
-1.58748,1.7748,-0.82592,1
-1.58748,1.7748,0.825921,1
-1.58729,0.260025,0.263841,1
-1.58729,0.260025,-0.26384,1
-1.5784,2.0736,-0.189,1
-1.5784,2.0736,0.189,1
-1.57648,0.6564,-1.15695,1
-1.57648,0.6564,1.156956,1
-1.57475,2.242575,0,1
-1.57475,2.242575,0,1
-1.5694,1.323225,-1.15175,1
-1.5694,1.323225,1.151759,1
-1.5652,2.0856,-0.52577,1
-1.5652,2.0856,0.525778,1
-1.5648,2.1042,-0.216,1
-1.5648,2.1042,0.216,1
-1.55722,0.384375,-0.81018,1
-1.55722,0.384375,0.81018,1
-1.55447,2.242575,-0.25838,1
-1.55447,2.242575,0.258385,1
-1.552,0.2136,0,1
-1.552,0.2136,0,1
-1.55,2.1375,-0.225,1
-1.55,2.1375,0.225,1
-1.5352,2.1708,-0.216,1
-1.5352,2.1708,0.216,1
-1.5344,1.4712,-1.12607,1
-1.5344,1.4712,1.126072,1
-1.53201,0.2136,0.254652,1
-1.53201,0.2136,-0.25465,1
-1.53116,0.553725,-1.12369,1
-1.53116,0.553725,1.123697,1
-1.52897,1.929525,-0.79548,1
-1.52897,1.929525,0.795481,1
-1.52721,0.260025,-0.51301,1
-1.52721,0.260025,0.513016,1
-1.5216,2.2014,-0.189,1
-1.5216,2.2014,0.189,1
-1.514,0.177075,0,1
-1.514,0.177075,0,1
-1.5104,2.2266,-0.144,1
-1.5104,2.2266,0.144,1
-1.5028,2.2437,-0.081,1
-1.5028,2.2437,0.081,1
-1.5,2.4,0,1
-1.5,0.15,0,1
-1.5,2.25,0,1
-1.5,2.4,0,1
-1.5,0.15,0,1
-1.49648,0.127575,0,1
-1.49648,0.127575,0,1
-1.49564,2.242575,-0.5024,1
-1.49564,2.242575,0.502408,1
-1.4945,0.177075,0.248417,1
-1.4945,0.177075,-0.24841,1
-1.49211,1.621875,-1.09504,1
-1.49211,1.621875,1.09504,1
-1.49137,0.3168,-0.77592,1
-1.49137,0.3168,0.775921,1
-1.4808,0.1056,0,1
-1.4808,0.1056,0,1
-1.48068,2.4,-0.24612,1
-1.48068,0.15,0.24612,1
-1.48068,2.4,0.24612,1
-1.48068,0.15,-0.24612,1
-1.48068,0.15,-0.24612,1
-1.48068,0.15,0.24612,1
-1.48033,2.435437,0,1
-1.48033,2.435437,0,1
-1.4772,0.127575,0.245542,1
-1.4772,0.127575,-0.24554,1
-1.47613,0.4632,-1.08331,1
-1.47613,0.4632,1.08331,1
-1.47403,0.2136,0.49515,1
-1.47403,0.2136,-0.49515,1
-1.46646,2.0856,-0.76295,1
-1.46646,2.0856,0.762958,1
-1.46173,0.1056,-0.24297,1
-1.46173,0.1056,0.24297,1
-1.46126,2.435437,-0.24289,1
-1.46126,2.435437,0.242892,1
-1.4596,2.463,0,1
-1.4596,2.463,0,1
-1.44533,0.084525,0,1
-1.44533,0.084525,0,1
-1.44376,1.7748,-1.05955,1
-1.44376,1.7748,1.059553,1
-1.4408,2.463,-0.23949,1
-1.4408,2.463,0.239491,1
-1.43903,2.482687,0,1
-1.43794,0.177075,0.483027,1
-1.43794,0.177075,-0.48302,1
-1.43086,0.260025,0.74444,1
-1.43086,0.260025,-0.74444,1
-1.42671,0.084525,-0.23714,1
-1.42671,0.084525,0.237149,1
-1.42464,2.4,-0.47856,1
-1.42464,0.15,-0.47856,1
