x,y,z
616,629,628
617,618,630
617,630,629
618,619,631
618,631,630
619,620,632
619,632,631
620,621,633
620,633,632
621,622,634
621,634,633
622,623,635
622,635,634
623,624,636
623,636,635
624,625,637
624,637,636
625,626,638
625,638,637
626,627,639
626,639,638
627,616,628
627,628,639
628,629,641
628,641,640
629,630,642
629,642,641
630,631,643
630,643,642
631,632,644
631,644,643
632,633,645
632,645,644
633,634,646
633,646,645
634,635,647
634,647,646
635,636,648
635,648,647
636,637,649
636,649,648
637,638,650
637,650,649
638,639,651
638,651,650
639,628,640
639,640,651
640,641,653
640,653,652
641,642,654
641,654,653
642,643,655
642,655,654
643,644,656
643,656,655
644,645,657
644,657,656
645,646,658
645,658,657
646,647,659
646,659,658
647,648,660
647,660,659
648,649,661
648,661,660
649,650,662
649,662,661
650,651,663
650,663,662
651,640,652
651,652,663
652,653,665
652,665,664
653,654,666
653,666,665
654,655,667
654,667,666
655,656,668
655,668,667
656,657,669
656,669,668
657,658,670
657,670,669
658,659,671
658,671,670
659,660,672
659,672,671
660,661,673
660,673,672
661,662,674
661,674,673
662,663,675
662,675,674
663,652,664
663,664,675
664,665,677
664,677,676
665,666,678
665,678,677
666,667,679
666,679,678
667,668,680
667,680,679
668,669,681
668,681,680
669,670,682
669,682,681
670,671,683
670,683,682
671,672,684
671,684,683
672,673,685
672,685,684
673,674,686
673,686,685
674,675,687
674,687,686
675,664,676
675,676,687
676,677,689
676,689,688
677,678,690
677,690,689
678,679,691
678,691,690
679,680,692
679,692,691
680,681,693
680,693,692
681,682,694
681,694,693
682,683,695
682,695,694
683,684,696
683,696,695
684,685,697
684,697,696
685,686,698
685,698,697
686,687,699
686,699,698
687,676,688
687,688,699
701,703,702
786,774,775
701,704,703
786,775,776
701,705,704
786,776,777
701,706,705
786,777,778
701,707,706
786,778,779
701,708,707
786,779,780
701,709,708
786,780,781
701,710,709
786,781,782
701,711,710
786,782,783
701,712,711
786,783,784
701,713,712
786,784,785
701,702,713
786,785,774
702,703,715
702,715,714
703,704,716
703,716,715
704,705,717
704,717,716
705,706,718
705,718,717
706,707,719
706,719,718
707,708,720
707,720,719
708,709,721
708,721,720
709,710,722
709,722,721
710,711,723
710,723,722
711,712,724
711,724,723
712,713,725
712,725,724
713,702,714
713,714,725
714,715,727
714,727,726
715,716,728
715,728,727
716,717,729
716,729,728
717,718,730
717,730,729
718,719,731
718,731,730
719,720,732
719,732,731
720,721,733
720,733,732
721,722,734
721,734,733
722,723,735
722,735,734
723,724,736
723,736,735
724,725,737
724,737,736
725,714,726
725,726,737
726,727,739
726,739,738
727,728,740
727,740,739
728,729,741
728,741,740
729,730,742
729,742,741
730,731,743
730,743,742
731,732,744
731,744,743
732,733,745
732,745,744
733,734,746
733,746,745
734,735,747
734,747,746
735,736,748
735,748,747
736,737,749
736,749,748
737,726,738
737,738,749
738,739,751
738,751,750
739,740,752
739,752,751
740,741,753
740,753,752
741,742,754
741,754,753
742,743,755
742,755,754
743,744,756
743,756,755
744,745,757
744,757,756
745,746,758
745,758,757
746,747,759
746,759,758
747,748,760
747,760,759
748,749,761
748,761,760
749,738,750
749,750,761
750,751,763
750,763,762
751,752,764
751,764,763
752,753,765
752,765,764
753,754,766
753,766,765
754,755,767
754,767,766
755,756,768
755,768,767
756,757,769
756,769,768
757,758,770
757,770,769
758,759,771
758,771,770
759,760,772
759,772,771
760,761,773
760,773,772
761,750,762
761,762,773
762,763,775
762,775,774
763,764,776
763,776,775
764,765,777
764,777,776
765,766,778
765,778,777
766,767,779
766,779,778
767,768,780
767,780,779
768,769,781
768,781,780
769,770,782
769,782,781
770,771,783
770,783,782
771,772,784
771,784,783
772,773,785
772,785,784
773,762,774
773,774,785
787,790,789
788,803,804
789,790,804
789,804,803
787,791,790
788,804,805
790,791,805
790,805,804
787,792,791
788,805,806
791,792,806
791,806,805
787,793,792
788,806,807
792,793,807
792,807,806
787,794,793
788,807,808
793,794,808
793,808,807
787,795,794
788,808,809
794,795,809
794,809,808
787,796,795
788,809,810
795,796,810
795,810,809
787,797,796
788,810,811
796,797,811
796,811,810
787,798,797
788,811,812
797,798,812
797,812,811
787,799,798
788,812,813
798,799,813
798,813,812
787,800,799
788,813,814
799,800,814
799,814,813
787,801,800
788,814,815
800,801,815
800,815,814
787,802,801
788,815,816
801,802,816
801,816,815
787,789,802
788,816,803
802,789,803
802,803,816
817,820,819
818,833,834
819,820,834
819,834,833
817,821,820
818,834,835
820,821,835
820,835,834
817,822,821
818,835,836
821,822,836
821,836,835
817,823,822
818,836,837
822,823,837
822,837,836
817,824,823
818,837,838
